,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
240,sphere,13.7,1.98E-05,0.007621,0.00614895,3.23E-14,4.90E-09,3.23E-14,0.9,913,500
241,film,13.7,3.93E-05,0.003552,0.00019622,2.55E-13,2.77E-08,2.55E-13,0.496891844,875,500
242,fiber,13.7,4.82E-05,0.00039,0.00305904,4.69E-13,5.28E-08,4.69E-13,0.29586243,858,500
243,film,13.7,1.96E-05,0.000906,0.00030876,3.16E-14,1.13E-08,3.16E-14,0.303099118,990,500
244,fiber,13.7,2.69E-05,0.000212,0.00487774,8.13E-14,1.63E-08,8.13E-14,0.303802083,993,500
245,fiber,13.7,7.53E-05,0.000599,0.00760264,1.79E-12,1.28E-07,1.79E-12,0.301013871,964,500
246,film,13.7,0.000142543,0.000947,0.00068317,1.21E-11,3.58E-07,1.21E-11,0.50397733,868,500
247,sphere,13.7,5.12E-05,0.010081,0.00874368,5.63E-13,3.30E-08,5.63E-13,0.8,938,500
248,film,13.7,6.74E-05,0.006063,0.00109316,1.28E-12,1.35E-07,1.28E-12,0.298887075,925,500
249,fiber,13.7,0.000159815,0.000184,0.0043636,1.71E-11,5.71E-07,1.71E-11,0.704667048,910,500
250,fiber,13.7,9.60E-05,0.000343,0.00778979,3.71E-12,1.70E-07,3.71E-12,0.604522065,867,500
251,film,13.7,9.94E-05,0.007229,0.00159764,4.11E-12,2.92E-07,4.11E-12,0.300068619,881,500
252,film,13.7,7.04E-05,0.005828,5.18E-05,1.46E-12,8.72E-08,1.46E-12,0.504836323,930,500
253,fiber,13.7,0.000509944,0.001407,0.00945149,5.55E-10,4.71E-06,5.55E-10,0.69681261,949,500
254,sphere,13.7,1.31E-05,0.008164,0.00083024,9.34E-15,2.14E-09,9.34E-15,0.9,991,500
255,film,13.7,1.38E-05,0.005996,6.68E-05,1.10E-14,3.36E-09,1.10E-14,0.501873246,961,500
256,sphere,13.7,0.000115453,0.010877,0.00777574,6.45E-12,1.68E-07,6.45E-12,0.9,915,500
257,fiber,13.7,4.56E-05,0.000535,0.00169022,3.97E-13,5.46E-08,3.97E-13,0.197448488,953,500
258,fiber,13.7,0.000109832,0.001266,0.00693098,5.55E-12,3.15E-07,5.55E-12,0.201477038,992,500
259,fiber,13.7,1.45E-05,5.20E-05,0.00587466,1.27E-14,3.85E-09,1.27E-14,0.601902676,900,500
260,fiber,13.7,7.81E-05,0.000357,0.00140416,1.99E-12,1.17E-07,1.99E-12,0.504893217,910,500
261,film,13.7,0.000397498,0.001444,0.00341343,2.63E-10,3.51E-06,2.63E-10,0.399607037,899,500
262,fiber,13.7,0.000275539,0.000999,0.00636289,8.76E-11,1.40E-06,8.76E-11,0.598637056,907,500
263,fiber,13.7,6.61E-06,2.40E-05,0.00594461,1.21E-15,8.06E-10,1.21E-15,0.598098677,914,500
264,sphere,13.7,0.000136648,0.006711,0.00952,1.07E-11,2.35E-07,1.07E-11,0.8,970,500
265,fiber,13.7,1.91E-05,0.000225,0.00118208,2.90E-14,9.57E-09,2.90E-14,0.196084889,885,500
266,sphere,13.7,4.34E-05,0.008777,0.00066199,3.43E-13,2.37E-08,3.43E-13,0.9,926,500
267,sphere,13.7,1.11E-05,0.008413,0.00906984,5.69E-15,1.54E-09,5.69E-15,0.9,883,500
268,film,13.7,0.000101264,0.005752,0.00387037,4.35E-12,4.62E-07,4.35E-12,0.197142417,950,500
269,fiber,13.7,1.63E-05,4.50E-05,0.00281233,1.81E-14,4.81E-09,1.81E-14,0.696581647,979,500
270,film,13.7,1.40E-05,0.01057,0.00021859,1.14E-14,5.69E-09,1.14E-14,0.30375714,852,500
271,film,13.7,2.15E-05,0.01019,0.00035345,4.14E-14,1.38E-08,4.14E-14,0.296688022,977,500
272,sphere,13.7,6.67E-05,0.010024,0.00294522,1.24E-12,5.59E-08,1.24E-12,0.8,982,500
273,sphere,13.7,3.40E-05,0.000942,0.00671365,1.65E-13,1.45E-08,1.65E-13,0.9,891,500
274,fiber,13.7,2.69E-05,0.000159,0.00037528,8.13E-14,1.48E-08,8.13E-14,0.403320772,940,500
275,film,13.7,7.39E-05,0.012424,0.00065064,1.69E-12,1.23E-07,1.69E-12,0.395273684,967,500
276,fiber,13.7,0.000259449,0.000717,0.00596323,7.32E-11,1.22E-06,7.32E-11,0.696315058,912,500
277,fiber,13.7,0.000182518,0.000497,0.00943898,2.55E-11,6.04E-07,2.55E-11,0.700862411,989,500
278,sphere,13.7,0.000146313,0.008888,0.00413024,1.31E-11,2.69E-07,1.31E-11,0.9,969,500
279,film,13.7,0.000137492,0.005718,0.00524086,1.09E-11,8.51E-07,1.09E-11,0.197404682,935,500
280,sphere,13.7,7.20E-05,0.012248,0.00172427,1.57E-12,6.52E-08,1.57E-12,0.9,986,500
281,sphere,13.7,2.82E-05,0.008615,0.00993803,9.36E-14,9.97E-09,9.36E-14,0.8,994,500
282,fiber,13.7,7.68E-05,0.000357,0.0082921,1.90E-12,1.13E-07,1.90E-12,0.498072151,899,500
283,sphere,13.7,8.71E-05,0.006513,0.00092768,2.77E-12,9.53E-08,2.77E-12,0.8,890,500
284,sphere,13.7,1.05E-05,0.004979,0.00742302,4.79E-15,1.37E-09,4.79E-15,0.9,949,500
285,sphere,13.7,0.000160203,0.004365,0.00866329,1.72E-11,3.23E-07,1.72E-11,0.8,854,500
286,film,13.7,0.000124922,0.012939,0.00015398,8.17E-12,2.32E-07,8.17E-12,0.598305768,982,500
287,film,13.7,9.48E-05,0.00692,0.00353801,3.57E-12,4.00E-07,3.57E-12,0.199484485,942,500
288,sphere,13.7,3.77E-05,0.008337,0.00954727,2.25E-13,1.79E-08,2.25E-13,0.8,854,500
289,film,13.7,0.00028434,0.004773,0.00136509,9.63E-11,1.43E-06,9.63E-11,0.503675448,905,500
290,sphere,13.7,4.19E-05,0.00338,0.00915858,3.09E-13,2.21E-08,3.09E-13,0.8,988,500
291,sphere,13.7,3.54E-05,0.010795,0.00280962,1.85E-13,1.57E-08,1.85E-13,0.9,881,500
292,film,13.7,9.28E-06,0.001687,2.24E-05,3.35E-15,1.27E-09,3.35E-15,0.602613897,998,500
293,fiber,13.7,6.01E-05,0.000217,0.00617906,9.08E-13,6.65E-08,9.08E-13,0.60008693,954,500
294,sphere,13.7,0.000225709,9.00E-06,0.0071373,4.82E-11,6.40E-07,4.82E-11,0.8,909,500
295,fiber,13.7,0.000160298,0.000959,0.00144689,1.73E-11,5.28E-07,1.73E-11,0.399158535,916,500
296,fiber,13.7,0.000352263,0.004005,0.00436713,1.83E-10,3.22E-06,1.83E-10,0.204608043,923,500
297,film,13.7,9.93E-06,0.004476,4.78E-05,4.10E-15,1.74E-09,4.10E-15,0.503280382,905,500
298,fiber,13.7,2.62E-05,0.000155,0.00471322,7.50E-14,1.40E-08,7.50E-14,0.402821026,852,500
299,fiber,13.7,4.32E-05,0.000119,0.00049929,3.38E-13,3.38E-08,3.38E-13,0.697365519,977,500
300,sphere,13.7,0.000131992,0.003257,0.00921315,9.63E-12,2.19E-07,9.63E-12,0.9,884,500
301,film,13.7,0.000104671,0.010995,0.00168801,4.80E-12,3.25E-07,4.80E-12,0.299637748,903,500
302,fiber,13.7,0.00029353,0.001744,0.00611584,1.06E-10,1.77E-06,1.06E-10,0.401739738,872,500
303,fiber,13.7,1.57E-05,1.80E-05,0.0050284,1.61E-14,5.48E-09,1.61E-14,0.704213827,925,500
304,fiber,13.7,0.000211803,0.000973,0.00983662,3.98E-11,8.61E-07,3.98E-11,0.502912914,997,500
305,sphere,13.7,8.52E-05,0.010483,0.0083113,2.59E-12,9.12E-08,2.59E-12,0.8,924,500
306,fiber,13.7,1.52E-05,4.20E-05,0.00754714,1.46E-14,4.17E-09,1.46E-14,0.695898073,985,500
307,sphere,13.7,0.000193095,0.01248,0.00466023,3.02E-11,4.69E-07,3.02E-11,0.8,876,500
308,film,13.7,0.000240436,0.003985,0.00887638,5.82E-11,2.56E-06,5.82E-11,0.200538295,977,500
309,sphere,13.7,0.00010733,0.006039,0.00330991,5.18E-12,1.45E-07,5.18E-12,0.8,922,500
310,sphere,13.7,0.000130449,0.004086,0.00678203,9.30E-12,2.14E-07,9.30E-12,0.8,890,500
311,film,13.7,0.000103467,0.00385,0.00051958,4.64E-12,1.92E-07,4.64E-12,0.495676362,943,500
312,film,13.7,5.66E-06,0.00385,4.93E-05,7.60E-16,7.17E-10,7.60E-16,0.397287346,930,500
313,film,13.7,5.86E-06,0.011052,2.93E-05,8.43E-16,6.15E-10,8.43E-16,0.496371987,966,500
314,film,13.7,1.27E-06,0.007194,3.03E-06,8.64E-18,2.38E-11,8.64E-18,0.603930627,861,500
315,fiber,13.7,4.92E-05,0.000295,0.00334761,4.98E-13,4.97E-08,4.98E-13,0.398181783,988,500
316,fiber,13.7,8.07E-05,0.000647,0.00185105,2.20E-12,1.47E-07,2.20E-12,0.298616017,950,500
317,film,13.7,0.000161309,0.002396,0.00617733,1.76E-11,1.17E-06,1.76E-11,0.196953189,946,500
318,film,13.7,3.10E-05,0.003102,0.00117972,1.25E-13,4.32E-08,1.25E-13,0.197499798,979,500
319,fiber,13.7,0.000134204,0.000796,0.00460647,1.01E-11,3.69E-07,1.01E-11,0.402385276,904,500
320,fiber,13.7,2.72E-05,0.000163,0.0082701,8.48E-14,1.53E-08,8.48E-14,0.399208868,927,500
321,fiber,13.7,0.000369995,0.002963,0.00608763,2.12E-10,3.10E-06,2.12E-10,0.299046347,952,500
322,film,13.7,5.05E-05,0.001211,0.00080577,5.39E-13,7.52E-08,5.39E-13,0.301093981,963,500
323,film,13.7,3.93E-05,0.002354,0.00061559,2.54E-13,4.52E-08,2.54E-13,0.303804379,992,500
324,sphere,13.7,0.000255705,0.012302,0.00776995,7.00E-11,8.22E-07,7.00E-11,0.9,925,500
325,fiber,13.7,0.000156372,0.001234,0.00921347,1.60E-11,5.50E-07,1.60E-11,0.303633104,966,500
326,film,13.7,4.98E-05,0.009921,0.00191805,5.18E-13,1.12E-07,5.18E-13,0.196469704,946,500
327,fiber,13.7,0.000199091,0.001581,0.00898222,3.31E-11,8.94E-07,3.31E-11,0.301668299,897,500
328,sphere,13.7,1.81E-05,0.01152,0.00150279,2.50E-14,4.13E-09,2.50E-14,0.8,951,500
329,film,13.7,3.47E-06,0.010814,8.22E-06,1.75E-16,1.77E-10,1.75E-16,0.604414607,851,500
330,film,13.7,0.000182515,0.004416,0.00156199,2.55E-11,7.40E-07,2.55E-11,0.400196519,866,500
331,film,13.7,0.00027841,0.005018,0.00069605,9.04E-11,1.15E-06,9.04E-11,0.599474471,852,500
332,fiber,13.7,9.30E-05,0.00055,0.00202232,3.37E-12,1.77E-07,3.37E-12,0.40353299,947,500
333,film,13.7,4.72E-05,0.006628,0.00022826,4.39E-13,3.94E-08,4.39E-13,0.502246425,962,500
334,fiber,13.7,1.52E-05,7.00E-05,0.00778672,1.48E-14,4.45E-09,1.48E-14,0.502594494,969,500
335,sphere,13.7,1.04E-06,0.002393,0.00126876,4.75E-18,1.37E-11,4.75E-18,0.9,985,500
336,film,13.7,8.53E-05,0.007197,0.00138986,2.60E-12,2.17E-07,2.60E-12,0.29824868,935,500
337,film,13.7,7.67E-05,0.012629,0.00037238,1.89E-12,1.04E-07,1.89E-12,0.501649186,897,500
338,fiber,13.7,0.000183517,0.000845,0.0034785,2.59E-11,6.47E-07,2.59E-11,0.501978172,921,500
339,fiber,13.7,8.50E-05,0.000233,0.0026113,2.57E-12,1.31E-07,2.57E-12,0.698879451,870,500
340,fiber,13.7,0.000100619,0.000275,0.00547784,4.27E-12,1.84E-07,4.27E-12,0.699737591,918,500
341,fiber,13.7,1.17E-05,9.40E-05,0.00937386,6.69E-15,3.09E-09,6.69E-15,0.297688342,944,500
342,film,13.7,4.32E-05,0.001308,0.00167712,3.37E-13,8.47E-08,3.37E-13,0.195598517,888,500
343,fiber,13.7,6.56E-05,3.70E-05,0.00969589,1.18E-12,1.52E-07,1.18E-12,0.396770144,868,500
344,sphere,13.7,7.67E-05,0.003035,0.00891332,1.89E-12,7.39E-08,1.89E-12,0.8,922,500
345,sphere,13.7,0.000316377,0.009034,0.00727309,1.33E-10,1.26E-06,1.33E-10,0.8,919,500
346,fiber,13.7,6.89E-05,0.000416,0.00076272,1.37E-12,9.77E-08,1.37E-12,0.395489433,933,500
347,fiber,13.7,0.00018034,0.001085,0.0097959,2.46E-11,6.69E-07,2.46E-11,0.397055858,962,500
348,film,13.7,1.86E-05,0.012433,0.00029043,2.69E-14,1.01E-08,2.69E-14,0.304104721,866,500
349,fiber,13.7,2.95E-05,0.000107,0.00516385,1.07E-13,1.60E-08,1.07E-13,0.598048134,994,500
350,sphere,13.7,0.000359532,0.010892,0.00936245,1.95E-10,1.62E-06,1.95E-10,0.8,855,500
351,sphere,13.7,2.91E-05,0.00586,0.00230452,1.03E-13,1.06E-08,1.03E-13,0.9,977,500
352,film,13.7,6.39E-05,0.006675,0.00031616,1.09E-12,7.27E-08,1.09E-12,0.498222118,977,500
353,sphere,13.7,3.88E-06,0.002968,0.00913684,2.45E-16,1.89E-10,2.45E-16,0.9,873,500
354,sphere,13.7,9.99E-05,0.00926,0.00553449,4.18E-12,1.25E-07,4.18E-12,0.9,969,500
355,sphere,13.7,0.000122864,0.003146,0.00407116,7.77E-12,1.90E-07,7.77E-12,0.9,979,500
356,fiber,13.7,1.17E-05,4.20E-05,0.00561818,6.64E-15,2.50E-09,6.64E-15,0.601155492,892,500
357,sphere,13.7,3.59E-05,0.00457,0.00929703,1.94E-13,1.62E-08,1.94E-13,0.9,900,500
358,fiber,13.7,7.94E-06,7.00E-06,0.00417962,2.09E-15,1.63E-09,2.09E-15,0.601827577,868,500
359,sphere,13.7,6.43E-05,0.006617,0.00160071,1.12E-12,5.20E-08,1.12E-12,0.8,891,500
360,fiber,13.7,5.67E-05,0.000154,0.00379332,7.66E-13,5.84E-08,7.66E-13,0.701902348,882,500
361,sphere,13.7,1.80E-05,0.005347,0.00806877,2.45E-14,4.08E-09,2.45E-14,0.8,888,500
362,film,13.7,6.42E-05,0.007653,0.00238986,1.11E-12,1.83E-07,1.11E-12,0.19975836,961,500
363,sphere,13.7,6.82E-05,0.000115,0.00151641,1.33E-12,5.84E-08,1.33E-12,0.9,939,500
364,film,13.7,1.32E-05,0.007351,9.62E-06,9.53E-15,3.06E-09,9.53E-15,0.503185186,944,500
365,fiber,13.7,5.94E-05,0.000275,0.00627419,8.76E-13,6.78E-08,8.76E-13,0.499475862,863,500
366,sphere,13.7,4.86E-06,0.00649,0.00776132,4.80E-16,2.96E-10,4.80E-16,0.8,949,500
367,fiber,13.7,7.66E-05,4.30E-05,0.00028639,1.88E-12,2.07E-07,1.88E-12,0.395107914,944,500
368,film,13.7,1.58E-05,0.011217,0.00058872,1.66E-14,1.11E-08,1.66E-14,0.199744809,952,500
369,sphere,13.7,0.00018412,0.010859,0.00832087,2.61E-11,4.26E-07,2.61E-11,0.8,916,500
370,fiber,13.7,9.26E-06,5.60E-05,0.00318077,3.33E-15,1.77E-09,3.33E-15,0.395320388,984,500
371,fiber,13.7,7.03E-06,4.00E-06,0.00118047,1.46E-15,1.73E-09,1.46E-15,0.400796939,926,500
372,film,13.7,2.69E-05,0.011457,0.00013217,8.12E-14,1.28E-08,8.12E-14,0.499315033,972,500
373,sphere,13.7,3.21E-05,0.00896,0.00895129,1.38E-13,1.29E-08,1.38E-13,0.9,877,500
374,film,13.7,0.000195769,0.012438,0.00734827,3.14E-11,1.71E-06,3.14E-11,0.198906835,958,500
375,film,13.7,0.000124265,0.008512,0.00203849,8.04E-12,4.62E-07,8.04E-12,0.297223329,916,500
376,film,13.7,2.37E-05,0.001846,0.00085468,5.57E-14,2.46E-08,5.57E-14,0.202847481,892,500
377,fiber,13.7,4.22E-05,0.000252,0.00348059,3.15E-13,3.66E-08,3.15E-13,0.399800173,979,500
378,sphere,13.7,1.03E-05,0.001595,0.00433524,4.62E-15,1.34E-09,4.62E-15,0.8,877,500
379,fiber,13.7,5.15E-06,4.10E-05,0.008218,5.73E-16,5.99E-10,5.73E-16,0.301022644,975,500
380,fiber,13.7,0.000102843,0.000819,0.0024602,4.56E-12,2.39E-07,4.56E-12,0.300783762,993,500
381,film,13.7,1.27E-06,0.010899,1.53E-06,8.57E-18,2.40E-11,8.57E-18,0.595702981,871,500
382,fiber,13.7,3.61E-05,0.00029,0.00997446,1.98E-13,2.96E-08,1.98E-13,0.298341623,882,500
383,film,13.7,3.40E-05,0.000882,4.10E-05,1.65E-13,1.73E-08,1.65E-13,0.595787304,852,500
384,fiber,13.7,2.15E-05,7.70E-05,0.00984365,4.17E-14,8.52E-09,4.17E-14,0.603632093,850,500
385,sphere,13.7,2.85E-05,0.012258,0.0045856,9.73E-14,1.02E-08,9.73E-14,0.9,957,500
386,film,13.7,0.000194844,0.002005,0.00047462,3.10E-11,5.60E-07,3.10E-11,0.601907975,874,500
387,fiber,13.7,2.18E-05,0.000256,0.00312361,4.32E-14,1.25E-08,4.32E-14,0.196893872,925,500
388,sphere,13.7,7.57E-06,0.003343,0.00533953,1.82E-15,7.20E-10,1.82E-15,0.8,948,500
389,fiber,13.7,8.04E-05,0.000484,0.00017089,2.18E-12,1.33E-07,2.18E-12,0.397071366,928,500
390,film,13.7,3.53E-05,0.002268,0.00017437,1.84E-13,2.22E-08,1.84E-13,0.498674757,907,500
391,fiber,13.7,4.76E-05,0.000556,0.0057308,4.52E-13,5.95E-08,4.52E-13,0.198588567,904,500
392,fiber,13.7,3.00E-05,0.000341,0.00962667,1.13E-13,2.33E-08,1.13E-13,0.204548959,939,500
393,film,13.7,4.99E-05,0.002407,0.00080023,5.21E-13,7.37E-08,5.21E-13,0.300483625,962,500
394,fiber,13.7,0.000133488,0.001569,0.00521257,9.96E-12,4.69E-07,9.96E-12,0.197099568,940,500
395,film,13.7,4.04E-05,0.000694,0.00019393,2.75E-13,2.87E-08,2.75E-13,0.503498963,982,500
396,fiber,13.7,2.20E-05,0.000175,0.003215,4.48E-14,1.10E-08,4.48E-14,0.301605275,863,500
397,film,13.7,0.000115833,0.007896,0.00192608,6.51E-12,4.04E-07,6.51E-12,0.295318235,889,500
398,film,13.7,2.49E-05,0.004205,0.00021467,6.50E-14,1.39E-08,6.50E-14,0.399259334,853,500
399,film,13.7,3.52E-05,0.01137,1.17E-05,1.83E-13,3.63E-08,1.83E-13,0.303159673,987,500
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
